umbral,recall,precision,f1,falsos_negativos,falsos_positivos,costo,tasa_rechazo
0.7058,0.1832429174201326,0.7794871794871795,0.296730112249878,1355,86,6861.0,0.052
0.7156,0.17118746232670284,0.7845303867403315,0.281048985650668,1375,78,6953.0,0.048266666666666666
0.7254,0.15792646172393007,0.7844311377245509,0.26292022077270444,1397,72,7057.0,0.044533333333333334
0.7352,0.14707655213984328,0.8,0.2484725050916497,1415,61,7136.0,0.04066666666666666
0.745,0.13441832429174203,0.8138686131386861,0.23072943610967409,1436,51,7231.0,0.036533333333333334
0.7548,0.11452682338758288,0.811965811965812,0.20073956682514527,1469,44,7389.0,0.0312
0.7646,0.0922242314647378,0.8225806451612904,0.16585365853658537,1506,33,7563.0,0.0248
0.7744,0.07293550331525014,0.8175675675675675,0.13392363032650803,1538,27,7717.0,0.019733333333333332
0.7842,0.06027727546714889,0.8264462809917356,0.11235955056179775,1559,21,7816.0,0.016133333333333333
0.794,0.0433996383363472,0.8470588235294118,0.08256880733944955,1587,13,7948.0,0.011333333333333334
0.8038,0.031946955997588906,0.9137931034482759,0.06173558532323821,1606,5,8035.0,0.007733333333333333
0.8136,0.018685955394816153,0.8857142857142857,0.03659976387249114,1628,4,8144.0,0.004666666666666667
0.8234,0.013261000602772756,0.88,0.026128266033254157,1637,3,8188.0,0.0033333333333333335
0.8332,0.009041591320072333,0.8823529411764706,0.017899761336515514,1644,2,8222.0,0.002266666666666667
0.843,0.004822182037371911,1.0,0.009598080383923215,1651,0,8255.0,0.0010666666666666667
0.8528,0.0006027727546714888,1.0,0.0012048192771084338,1658,0,8290.0,0.00013333333333333334
0.8626,0.0,0.0,0.0,1659,0,8295.0,0.0
0.8724,0.0,0.0,0.0,1659,0,8295.0,0.0
0.8822,0.0,0.0,0.0,1659,0,8295.0,0.0
0.892,0.0,0.0,0.0,1659,0,8295.0,0.0
0.9018,0.0,0.0,0.0,1659,0,8295.0,0.0
0.9116,0.0,0.0,0.0,1659,0,8295.0,0.0
0.9214,0.0,0.0,0.0,1659,0,8295.0,0.0
0.9312,0.0,0.0,0.0,1659,0,8295.0,0.0
0.941,0.0,0.0,0.0,1659,0,8295.0,0.0
0.9508,0.0,0.0,0.0,1659,0,8295.0,0.0
0.9606,0.0,0.0,0.0,1659,0,8295.0,0.0
0.9704,0.0,0.0,0.0,1659,0,8295.0,0.0
0.9802,0.0,0.0,0.0,1659,0,8295.0,0.0
0.99,0.0,0.0,0.0,1659,0,8295.0,0.0
