variable,importancia
atraso_sep,0.5082816803478991
meses_con_atraso,0.12087525060093121
atraso_maximo,0.07555578592309338
atraso_promedio,0.04359206639961705
utilizacion_maxima,0.031190706752805178
pago_promedio,0.026614393903772363
razon_pago_saldo,0.01901289895012091
utilizacion_sep,0.0180605815491228
limite_credito,0.016499637615962764
cambio_saldo,0.016223791679511275
saldo_sep,0.015237572561843634
saldo_promedio,0.012676492589745894
edad,0.010429443303833186
pago_ago,0.009305029088371925
atraso_ago,0.009160152212534191
